[INFO ] 2024-11-04 12:33:23.293 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@6ae9b062)
[INFO ] 2024-11-04 12:33:23.293 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:33:23.294 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:33:23.294 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:33:23.297 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@115a9246)
[INFO ] 2024-11-04 12:33:23.297 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:33:23.298 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:33:23.298 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:33:53.330 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@5fa70178)
[INFO ] 2024-11-04 12:33:53.330 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:34:45.479 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:34:45.480 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:34:45.484 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@78eac04e)
[INFO ] 2024-11-04 12:34:45.484 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:34:45.485 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:34:45.485 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:34:45.488 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@3d67a5b7)
[INFO ] 2024-11-04 12:34:45.488 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:34:45.489 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:34:45.489 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:34:45.492 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@623c50d)
[INFO ] 2024-11-04 12:34:45.493 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:34:45.494 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:34:45.494 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:34:45.503 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@ccb42e4)
[INFO ] 2024-11-04 12:34:45.503 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:34:45.503 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:34:45.504 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:34:45.507 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@45c2182)
[INFO ] 2024-11-04 12:34:45.508 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:34:45.509 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:34:45.509 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:35:15.529 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@e2f6e2b)
[INFO ] 2024-11-04 12:35:15.529 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:36:07.596 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:36:07.596 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:36:07.599 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@5825c168)
[INFO ] 2024-11-04 12:36:07.600 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:36:07.600 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:36:07.600 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:36:07.603 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@3d90abdf)
[INFO ] 2024-11-04 12:36:07.603 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:36:07.603 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:36:07.603 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:36:07.607 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@1306452b)
[INFO ] 2024-11-04 12:36:07.607 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:36:07.607 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:36:07.607 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:36:07.610 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@66ad3f56)
[INFO ] 2024-11-04 12:36:07.610 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:36:07.610 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:36:07.610 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:36:07.613 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@10f59c6a)
[INFO ] 2024-11-04 12:36:07.613 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:36:07.614 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:36:07.614 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 19:13:46.460 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@98d34ce)
[INFO ] 2024-11-04 19:13:46.460 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 19:14:17.767 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 19:14:17.767 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 19:14:17.771 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@6d5fd26)
[INFO ] 2024-11-04 19:14:17.771 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 19:14:17.772 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 19:14:17.772 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 19:14:17.958 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@3a7f375a)
[INFO ] 2024-11-04 19:14:17.958 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 19:14:17.959 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 19:14:17.959 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
